,imdb_id,release_date,genres,title,budget,revenue,runtime_mins,vote_average,vote_count
0,tt1375666,2010-07-15,"['Action', 'Science Fiction', 'Adventure']",Inception,160000000,825532764,148,8.3,26451
1,tt0926084,2010-10-17,"['Adventure', 'Fantasy']",Harry Potter and the Deathly Hallows: Part 1,250000000,954305868,146,7.8,13048
2,tt0435761,2010-06-16,"['Animation', 'Family', 'Comedy']",Toy Story 3,200000000,1066969703,103,7.8,10426
3,tt1130884,2010-02-14,"['Drama', 'Thriller', 'Mystery']",Shutter Island,80000000,294804195,138,8.1,15891
4,tt1228705,2010-04-28,"['Adventure', 'Action', 'Science Fiction']",Iron Man 2,200000000,623933331,124,6.8,14649
5,tt0446029,2010-08-12,"['Action', 'Comedy', 'Romance', 'Music', 'Fantasy']",Scott Pilgrim vs. the World,60000000,47664559,112,7.4,4873
6,tt1477076,2010-10-21,"['Horror', 'Crime']",Saw 3D,20000000,136150434,90,6.0,1865
7,tt1014759,2010-03-03,"['Family', 'Fantasy', 'Adventure']",Alice in Wonderland,200000000,1025467110,108,6.6,10345
8,tt0892769,2010-03-10,"['Fantasy', 'Adventure', 'Animation', 'Family']",How to Train Your Dragon,165000000,494878759,100,7.8,9134
9,tt0814255,2010-02-01,"['Adventure', 'Fantasy', 'Family']",Percy Jackson & the Olympians: The Lightning Thief,95000000,226497209,119,6.2,5240
10,tt0817230,2010-02-10,"['Comedy', 'Romance']",Valentine's Day,52000000,216485654,125,5.9,2267
11,tt0398286,2010-11-24,"['Animation', 'Family']",Tangled,260000000,591794936,100,7.6,7777
12,tt1325004,2010-06-23,"['Adventure', 'Fantasy', 'Drama', 'Romance']",The Twilight Saga: Eclipse,68000000,698491347,124,6.1,6111
13,tt1231583,2010-11-04,"['Comedy', 'Drama']",Due Date,65000000,211780824,95,6.3,3684
14,tt0964517,2010-12-17,['Drama'],The Fighter,25000000,93617009,116,7.4,2869
15,tt1228987,2010-10-01,"['Drama', 'Horror', 'Mystery']",Let Me In,20000000,24145613,116,6.7,1294
16,tt1375670,2010-06-24,['Comedy'],Grown Ups,80000000,271430189,102,6.2,3902
17,tt1120985,2010-12-16,"['Drama', 'Romance']",Blue Valentine,3500000,16566240,112,6.9,2073
18,tt1323594,2010-07-08,"['Animation', 'Family']",Despicable Me,69000000,543513985,95,7.2,11464
19,tt1273235,2010-06-16,"['Crime', 'Horror', 'Thriller']",A Serbian Film,0,0,104,5.5,1034
20,tt1568921,2010-07-16,"['Fantasy', 'Animation', 'Family']",The Secret World of Arrietty,23000000,145570827,94,7.6,1664
21,tt1591095,2010-09-13,"['Horror', 'Thriller']",Insidious,1500000,97009150,103,6.9,4397
22,tt0955308,2010-05-12,"['Action', 'Adventure', 'Drama']",Robin Hood,200000000,310669540,140,6.4,3139
23,tt0989757,2010-02-04,"['Drama', 'Romance', 'War']",Dear John,25000000,114977104,115,6.8,3169
24,tt1294226,2010-03-31,"['Drama', 'Family', 'Romance']",The Last Song,0,0,107,7.2,2577
25,tt1193631,2010-08-04,"['Drama', 'Romance']",Step Up 3D,30000000,159291809,107,6.8,1392
26,tt1588170,2010-08-12,"['Thriller', 'Horror']",I Saw the Devil,0,0,141,7.8,1245
27,tt0947798,2010-12-03,"['Drama', 'Thriller', 'Horror']",Black Swan,13000000,329398046,108,7.6,10009
28,tt0963966,2010-07-13,"['Fantasy', 'Adventure', 'Action']",The Sorcerer's Apprentice,150000000,215283742,109,6.0,3550
29,tt0892791,2010-05-16,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",Shrek Forever After,165000000,752600867,93,6.2,4737
30,tt1155076,2010-06-10,"['Action', 'Adventure', 'Drama', 'Family']",The Karate Kid,40000000,357852395,140,6.4,3897
31,tt1320253,2010-08-03,"['Thriller', 'Adventure', 'Action']",The Expendables,80000000,274470394,103,6.1,5446
32,tt1403865,2010-12-22,"['Drama', 'Adventure', 'Western']",True Grit,38000000,252276927,110,7.3,3527
33,tt0879870,2010-08-12,['Drama'],Eat Pray Love,60000000,204594016,133,6.1,1576
34,tt0464154,2010-08-20,"['Comedy', 'Horror']",Piranha 3D,24000000,83188165,88,5.3,1349
