release_date,title,genre,production_budget,domestic_gross,foreign_gross,worldwide_gross,roi
2010-02-05,Dear John,War,25.0,80.014842,62.018667,142.033509,468.13403600000004
2010-02-05,Dear John,Romance,25.0,80.014842,62.018667,142.033509,468.13403600000004
2010-02-05,Dear John,Drama,25.0,80.014842,62.018667,142.033509,468.13403600000004
2010-02-12,Valentine's Day,Romance,52.0,110.5,107.083674,217.569328,318.40255384615386
2010-02-12,Valentine's Day,Comedy,52.0,110.5,107.083674,217.569328,318.40255384615386
2010-02-12,Valentine's Day,Romantic Comedy,52.0,110.5,107.083674,217.569328,318.40255384615386
2010-02-19,Shutter Island,Mystery,80.0,128.012934,171.448848,299.461782,274.3272275
2010-02-19,Shutter Island,Thriller,80.0,128.012934,171.448848,299.461782,274.3272275
2010-02-19,Shutter Island,Thriller/Suspense,80.0,128.012934,171.448848,299.461782,274.3272275
2010-02-26,The Crazies,Horror,20.0,39.123589,17.321945,56.445534,182.22767
2010-02-26,The Crazies,Thriller,20.0,39.123589,17.321945,56.445534,182.22767
2010-03-05,Alice in Wonderland,Fantasy,200.0,334.19111,691.3,1025.49111,412.74555499999997
2010-03-05,Alice in Wonderland,Musical,200.0,334.19111,691.3,1025.49111,412.74555499999997
2010-03-05,Alice in Wonderland,Adventure,200.0,334.19111,691.3,1025.49111,412.74555499999997
2010-03-05,Alice in Wonderland,Documentary,200.0,334.19111,691.3,1025.49111,412.74555499999997
2010-03-05,Alice in Wonderland,Family,200.0,334.19111,691.3,1025.49111,412.74555499999997
2010-03-12,Remember Me,Drama,16.0,19.1,37.43788,56.50612,253.16325
2010-03-12,Remember Me,Romance,16.0,19.1,37.43788,56.50612,253.16325
2010-03-12,Remember Me,Comedy,16.0,19.1,37.43788,56.50612,253.16325
2010-03-12,Remember Me,Thriller,16.0,19.1,37.43788,56.50612,253.16325
2010-03-19,The Bounty Hunter,Comedy,45.0,67.099999,69.3,136.0,202.22222222222223
2010-03-19,The Bounty Hunter,Drama,45.0,67.099999,69.3,136.0,202.22222222222223
2010-03-19,The Bounty Hunter,Romantic Comedy,45.0,67.099999,69.3,136.0,202.22222222222223
2010-03-19,The Bounty Hunter,Romance,45.0,67.099999,69.3,136.0,202.22222222222223
2010-03-19,The Bounty Hunter,Action,45.0,67.099999,69.3,136.0,202.22222222222223
2010-03-19,Diary of a Wimpy Kid,Family,15.0,64.003625,12.950686,76.954311,413.02874
2010-03-19,Diary of a Wimpy Kid,Adventure,15.0,64.003625,12.950686,76.954311,413.02874
2010-03-19,Diary of a Wimpy Kid,Drama,15.0,64.003625,12.950686,76.954311,413.02874
2010-03-19,Diary of a Wimpy Kid,Comedy,15.0,64.003625,12.950686,76.954311,413.02874
2010-03-26,How to Train Your Dragon,Adventure,165.0,217.6,277.3,494.878759,199.9265206060606
2010-03-26,How to Train Your Dragon,Animation,165.0,217.6,277.3,494.878759,199.9265206060606
2010-03-26,How to Train Your Dragon,Action,165.0,217.6,277.3,494.878759,199.9265206060606
2010-03-31,The Last Song,Romance,20.0,63.0,29.728564,92.678948,363.39473999999996
2010-03-31,The Last Song,Music,20.0,63.0,29.728564,92.678948,363.39473999999996
2010-03-31,The Last Song,Drama,20.0,63.0,29.728564,92.678948,363.39473999999996
2010-04-01,Clash of the Titans,Fantasy,125.0,163.214888,330.0,493.214993,294.5719944
2010-04-01,Clash of the Titans,Action,125.0,163.214888,330.0,493.214993,294.5719944
2010-04-01,Clash of the Titans,Adventure,125.0,163.214888,330.0,493.214993,294.5719944
2010-04-02,Why Did I Get Married Too?,Comedy,20.0,60.095852,0.735215,60.831067,204.155335
2010-04-02,Why Did I Get Married Too?,Drama,20.0,60.095852,0.735215,60.831067,204.155335
2010-04-02,Why Did I Get Married Too?,Romance,20.0,60.095852,0.735215,60.831067,204.155335
2010-04-09,Date Night,Comedy,55.0,98.711404,53.6,152.269033,176.85278727272726
2010-04-09,Date Night,Romance,55.0,98.711404,53.6,152.269033,176.85278727272726
2010-04-09,Date Night,Crime,55.0,98.711404,53.6,152.269033,176.85278727272726
2010-04-16,Kick-Ass,Action,28.0,48.1,49.459831,97.531134,248.32547857142856
2010-04-16,Kick-Ass,Comedy,28.0,48.1,49.459831,97.531134,248.32547857142856
2010-04-16,Kick-Ass,Black Comedy,28.0,48.1,49.459831,97.531134,248.32547857142856
2010-04-30,A Nightmare on Elm Street,Horror,35.0,63.075011,54.65461,117.729621,236.3703457142857
2010-04-30,A Nightmare on Elm Street,Drama,35.0,63.075011,54.65461,117.729621,236.3703457142857
2010-04-30,A Nightmare on Elm Street,Crime,35.0,63.075011,54.65461,117.729621,236.3703457142857
2010-05-07,Iron Man 2,Action,200.0,312.433331,311.5,623.933331,211.9666655
2010-05-07,Iron Man 2,Sci-Fi,200.0,312.433331,311.5,623.933331,211.9666655
2010-05-07,Iron Man 2,Adventure,200.0,312.433331,311.5,623.933331,211.9666655
2010-05-21,Shrek Forever After,Adventure,165.0,238.736787,517.507886,756.244673,358.3301048484849
2010-05-21,Shrek Forever After,Animation,165.0,238.736787,517.507886,756.244673,358.3301048484849
2010-05-21,Shrek Forever After,Comedy,165.0,238.736787,517.507886,756.244673,358.3301048484849
2010-05-27,Sex and the City 2,Comedy,100.0,95.347692,199.333086,294.680778,194.680778
2010-05-27,Sex and the City 2,Drama,100.0,95.347692,199.333086,294.680778,194.680778
2010-05-27,Sex and the City 2,Romance,100.0,95.347692,199.333086,294.680778,194.680778
2010-06-11,The Karate Kid,Drama,40.0,176.6,182.5,357.852395,794.6309875
2010-06-11,The Karate Kid,Action,40.0,176.6,182.5,357.852395,794.6309875
2010-06-11,Winter's Bone,Mystery,2.0,6.531503,9.600048,16.131551,706.57755
2010-06-11,The Karate Kid,Family,40.0,176.6,182.5,357.852395,794.6309875
2010-06-11,Winter's Bone,Drama,2.0,6.531503,9.600048,16.131551,706.57755
2010-06-11,The Karate Kid,Adventure,40.0,176.6,182.5,357.852395,794.6309875
2010-06-18,Toy Story 3,Comedy,200.0,415.00488,653.874642,1068.879522,434.439761
2010-06-18,Toy Story 3,Adventure,200.0,415.00488,653.874642,1068.879522,434.439761
2010-06-18,Toy Story 3,Animation,200.0,415.00488,653.874642,1068.879522,434.439761
2010-06-25,Grown Ups,Comedy,80.0,162.001186,110.222244,272.22343,240.27928749999998
2010-06-30,The Twilight Saga: Eclipse,Fantasy,68.0,300.531751,405.571077,706.102828,938.3865117647058
2010-06-30,The Twilight Saga: Eclipse,Drama,68.0,300.531751,405.571077,706.102828,938.3865117647058
2010-06-30,The Twilight Saga: Eclipse,Adventure,68.0,300.531751,405.571077,706.102828,938.3865117647058
2010-07-09,Predators,Action,40.0,52.000688,75.233701,127.234389,218.0859725
2010-07-09,Predators,Adventure,40.0,52.000688,75.233701,127.234389,218.0859725
2010-07-09,Predators,Sci-Fi,40.0,52.000688,75.233701,127.234389,218.0859725
2010-07-09,Despicable Me,Adventure,69.0,251.513985,291.950588,543.513985,687.7014275362319
2010-07-09,The Kids Are All Right,Drama,4.0,20.811365,15.464104,36.275469,806.8867250000001
2010-07-09,Despicable Me,Comedy,69.0,251.513985,291.950588,543.513985,687.7014275362319
2010-07-09,Despicable Me,Animation,69.0,251.513985,291.950588,543.513985,687.7014275362319
2010-07-09,The Kids Are All Right,Romance,4.0,20.811365,15.464104,36.275469,806.8867250000001
2010-07-09,The Kids Are All Right,Comedy,4.0,20.811365,15.464104,36.275469,806.8867250000001
2010-07-09,Despicable Me,Family,69.0,251.513985,291.950588,543.513985,687.7014275362319
2010-07-16,Inception,Thriller/Suspense,160.0,292.6,539.975766,835.524642,422.20290125
2010-07-16,Inception,Sci-Fi,160.0,292.6,539.975766,835.524642,422.20290125
2010-07-16,Inception,Adventure,160.0,292.6,539.975766,835.524642,422.20290125
2010-07-16,Inception,Action,160.0,292.6,539.975766,835.524642,422.20290125
2010-08-06,Step Up 3D,Romance,30.0,42.400223,123.488894,165.889117,452.96372333333335
2010-08-06,Step Up 3D,Music,30.0,42.400223,123.488894,165.889117,452.96372333333335
2010-08-06,Step Up 3D,Drama,30.0,42.400223,123.488894,165.889117,452.96372333333335
2010-08-13,The Expendables,Action,82.0,103.1,171.4,274.470394,234.71999268292683
2010-08-13,The Expendables,Adventure,82.0,103.1,171.4,274.470394,234.71999268292683
2010-08-13,The Expendables,Thriller,82.0,103.1,171.4,274.470394,234.71999268292683
2010-08-13,Eat Pray Love,Drama,60.0,80.6,126.024779,206.598789,244.331315
2010-08-13,Eat Pray Love,Romance,60.0,80.6,126.024779,206.598789,244.331315
2010-08-18,Vampires Suck,Comedy,20.0,36.7,44.763484,81.424988,307.12494000000004
2010-08-20,Piranha 3D,Comedy,24.0,25.003155,58.657005,83.66016,248.584
2010-08-20,Piranha 3D,Horror,24.0,25.003155,58.657005,83.66016,248.584
2010-08-27,The Last Exorcism,Drama,1.8,41.03435,29.13155,70.1659,3798.105555555556
2010-08-27,The Last Exorcism,Horror,1.8,41.03435,29.13155,70.1659,3798.105555555556
2010-08-27,The Last Exorcism,Thriller,1.8,41.03435,29.13155,70.1659,3798.105555555556
2010-09-01,The American,Crime,20.0,35.606376,32.344347,67.950723,239.753615
2010-09-01,The American,Drama,20.0,35.606376,32.344347,67.950723,239.753615
2010-09-01,The American,Thriller,20.0,35.606376,32.344347,67.950723,239.753615
2010-09-01,The American,Thriller/Suspense,20.0,35.606376,32.344347,67.950723,239.753615
2010-09-10,Resident Evil: Afterlife,Action,60.0,60.128566,240.1,300.228084,400.38014000000004
2010-09-10,Resident Evil: Afterlife,Adventure,60.0,60.128566,240.1,300.228084,400.38014000000004
2010-09-10,Resident Evil: Afterlife,Horror,60.0,60.128566,240.1,300.228084,400.38014000000004
2010-09-17,Devil,Drama,10.0,33.679655,29.674459,63.354114,533.54114
2010-09-17,Devil,Mystery,10.0,33.679655,29.674459,63.354114,533.54114
2010-09-17,Devil,Horror,10.0,33.679655,29.674459,63.354114,533.54114
2010-09-17,The Town,Horror,37.0,92.2,61.8,154.026136,316.28685405405406
2010-09-17,Devil,Thriller,10.0,33.679655,29.674459,63.354114,533.54114
2010-09-17,The Town,Drama,37.0,92.2,61.8,154.026136,316.28685405405406
2010-09-17,The Town,Crime,37.0,92.2,61.8,154.026136,316.28685405405406
2010-09-17,Easy A,Romance,8.0,58.401464,17.799257,76.200721,852.5090125
2010-09-17,Easy A,Drama,8.0,58.401464,17.799257,76.200721,852.5090125
2010-09-17,The Town,Thriller,37.0,92.2,61.8,154.026136,316.28685405405406
2010-09-17,Easy A,Comedy,8.0,58.401464,17.799257,76.200721,852.5090125
2010-09-24,Buried,Drama,1.98765,1.044143,20.226147,21.27029,970.1225064774986
2010-09-24,Buried,Mystery,1.98765,1.044143,20.226147,21.27029,970.1225064774986
2010-09-24,Buried,Thriller,1.98765,1.044143,20.226147,21.27029,970.1225064774986
2010-09-24,Buried,Thriller/Suspense,1.98765,1.044143,20.226147,21.27029,970.1225064774986
2010-09-24,Buried,Documentary,1.98765,1.044143,20.226147,21.27029,970.1225064774986
2010-10-01,The Social Network,Biography,40.0,97.0,128.0,224.922135,462.30533749999995
2010-10-01,The Social Network,Drama,40.0,97.0,128.0,224.922135,462.30533749999995
2010-10-08,Inside Job,Crime,2.0,4.311834,3.6,7.799257,289.96285
