release_date,title,genres,production_budget,domestic_gross,foreign_gross,worldwide_gross
2010-06-18,Toy Story 3,Adventure,200000000,415004880,653874642,1068879522
2009-12-18,Avatar,Action,237000000,408392727,2028193712,2788701337
2010-03-05,Alice in Wonderland,Adventure,200000000,334191110,691300000,1025491110
2010-03-05,Alice in Wonderland,Adventure,3000000,334191110,0,0
2010-05-07,Iron Man 2,Action,170000000,312433331,308723058,621156389
2010-06-30,The Twilight Saga: Eclipse,Drama,68000000,300531751,405571077,706102828
2010-07-16,Inception,Thriller/Suspense,160000000,292568851,539975766,832551961
2010-11-19,Harry Potter and the Deathl…,Adventure,,283533215,,
2010-07-09,Despicable Me,Adventure,69000000,251203225,291950588,543464573
2010-05-21,Shrek Forever After,Adventure,165000000,238736787,517507886,756244673
2010-03-26,How to Train Your Dragon,Adventure,165000000,217581231,277289760,494870992
2010-06-11,The Karate Kid,Adventure,40000000,176591618,175183320,351774938
2010-06-11,The Karate Kid,Adventure,8000000,176591618,0,90815558
2010-11-24,Tangled,Musical,260000000,167821986,384905155,585727091
2010-04-01,Clash of the Titans,Action,125000000,163214888,330000000,493214888
2010-04-01,Clash of the Titans,Action,15000000,163214888,14400000,44400000
2010-06-25,Grown Ups,Comedy,75000000,162001186,110222244,272223430
2010-11-05,MegaMind,Adventure,,144192018,,
2010-07-01,The Last Airbender,Adventure,150000000,131772187,187941694,319713881
2010-12-17,Tron: Legacy,Adventure,200000000,131304844,228000000,400062763
2010-02-19,Shutter Island,Thriller/Suspense,80000000,128012934,171448848,299461782
2010-08-06,The Other Guys,Comedy,100000000,119219978,51716492,170936470
2010-07-23,Salt,Thriller/Suspense,130000000,118311368,172339126,290650494
2010-10-15,Jackass 3D,Comedy,20000000,117109417,54456101,171685793
2010-02-12,Valentine's Day,Romantic Comedy,52000000,110485654,107083674,217569328
2010-05-14,Robin Hood,Action,210000000,105487148,216971858,322459006
2010-05-14,Robin Hood,Action,99000000,105487148,54385384,85210012
2010-08-13,The Expendables,Action,82000000,103068524,165199650,268268174
2010-12-22,Little Fockers,Comedy,100000000,102576190,162211974,310650574
2010-11-05,Due Date,Comedy,65000000,99231922,111200000,211739043
2010-04-09,Date Night,Comedy,55000000,98711404,53557629,152269033
2010-05-27,Sex and the City 2,Comedy,95000000,95347692,199333086,294680778
2010-01-15,The Book of Eli,Action,80000000,94835059,63915758,158750817
2010-10-01,The Social Network,Drama,40000000,93222026,127959441,224922135
2010-09-17,The Town,Drama,37000000,92173235,60380619,152566881
2010-05-28,Prince of Persia: Sands of …,Action,,90759676,,
2010-10-15,Red,Action,60000000,89505187,106059531,196439693
2010-02-12,Percy Jackson & the Olympia…,Adventure,,88768303,,
2010-12-10,The Chronicles of Narnia: T…,Adventure,,86926397,,
2010-12-22,True Grit,Western,35000000,86670382,81033923,252276928
2010-10-22,Paranormal Activity 2,Horror,3000000,84660648,92759125,177512032
2010-08-13,Eat Pray Love,Drama,60000000,80574010,126024779,206598789
2010-02-05,Dear John,Drama,25000000,80014842,62018667,142033509
2010-11-12,Unstoppable,Action,95000000,79468486,84157979,165720921
2010-06-11,The A-Team,Action,110000000,77222099,100019072,177241171
2010-06-23,Knight and Day,Action,117000000,76423035,182328335,258751370
2010-07-30,Dinner for Schmucks,Comedy,69000000,73026337,13770165,86796502
2009-12-25,Sherlock Holmes,Adventure,90000000,70313242,289409533,498438212
2010-03-19,The Bounty Hunter,Romantic Comedy,45000000,67061228,68747609,135808837
2010-12-17,Yogi Bear,Adventure,80000000,65755336,104528679,204774690
2010-03-19,Diary of a Wimpy Kid,Adventure,15000000,64003625,12950686,76954311
2009-12-23,Alvin and the Chipmunks: Th…,Adventure,,63697677,,
2010-07-14,The Sorcerer's Apprentice,Adventure,160000000,63150991,154835329,217986320
2010-04-30,A Nightmare on Elm Street,Horror,35000000,63075011,54654610,117729621
2010-04-30,A Nightmare on Elm Street,Horror,1800000,63075011,0,25504513
2010-03-31,The Last Song,Drama,20000000,62950384,29728564,92678948
2010-02-12,The Wolf Man,Horror,,62189884,,
2010-06-04,Get Him to the Greek,Comedy,40000000,61153526,31841401,92994927
2010-09-10,Resident Evil: Afterlife,Horror,57500000,60128566,235745624,295874190
2010-04-02,Why Did I Get Married Too?,Drama,20000000,60095852,735215,60831067
2010-01-22,The Tooth Fairy,Adventure,,60022256,,
2010-10-08,Secretariat,Drama,35000000,59053682,676734,60376247
